Item.Number,Category,Vendor,Pack,Bottle.Volume..ml.,State.Bottle.Retail,County,Store,City,Bottles.Sold,Popularity,Covid_index,PopularityC
159,1011400,1,6,750,23.36,81,242,125,3146,FALSE,-0.4808492478395391,0
227,1012300,1,2,750,74.99,5,8,5,552,FALSE,NA,0
238,1701100,1,6,375,15,9,15,12,83,FALSE,NA,0
258,1081200,2,1,6000,144.39177750906893,37,99,51,1032,FALSE,0.021129841032753657,1
266,1701100,2,12,750,41.00399129172714,65,202,91,11091,FALSE,-2.6304438280166433,0
287,1701100,1,6,750,39.74,19,35,25,516,FALSE,NA,0
308,1011400,1,6,750,41.24,49,124,63,1126,FALSE,-0.0027952629894377468,0
314,1701100,1,4,750,39.2,20,25,21,100,FALSE,NA,0
322,1081300,1,24,200,4.5,15,15,15,268,FALSE,NA,0
399,1701100,1,1,6000,97.2,35,76,45,250,FALSE,NA,0
428,1701100,1,6,750,21.263390410958905,68,180,105,1496,FALSE,0.09641523525018672,1
430,1701100,1,12,50,3,73,258,114,16849,FALSE,-3.7834791422170064,0
434,1701100,1,6,750,15.748165137614679,101,469,169,9103,FALSE,-0.33340979408940574,0
447,1700000,1,6,750,30.319064039408868,76,236,116,4505,FALSE,0.6202229809025925,1
457,NA,1,6,750,31.49,44,102,58,599,FALSE,NA,0
458,1701100,1,6,750,22.5,9,12,11,52,FALSE,NA,0
464,1012300,1,6,850,31.24659229208925,32,92,44,3119,FALSE,0.04958924570575056,1
470,1011400,1,6,750,23.36,101,434,170,8557,FALSE,-1.4541502187133255,0
479,1701100,1,12,50,6.75,24,32,29,313,FALSE,NA,0
483,1701100,1,6,750,15.60875,65,178,90,2414,FALSE,-0.6397844873573029,0
494,1701100,1,3,1750,53.13,35,62,40,896,FALSE,0.4465592659767417,1
498,1701100,1,6,750,23.36,68,217,105,3594,FALSE,0.3873146271204524,1
499,1701100,1,6,750,18.26,28,51,34,624,FALSE,NA,0
500,1701100,1,6,750,18.26,18,34,23,240,FALSE,NA,0
502,1701100,1,6,750,23.36,40,79,56,1206,FALSE,0.08270564387069242,1
522,1700000,1,6,750,26.25,88,334,126,10274,FALSE,-0.12036701162914756,0
525,1701100,1,6,750,26.25,63,194,95,4733,FALSE,-0.674901312279953,0
529,1012300,1,6,750,54,17,35,24,228,FALSE,NA,0
550,1701100,1,6,750,11.03,19,29,23,600,FALSE,NA,0
557,1081300,2,15,400,6,84,207,113,13773,FALSE,-0.02228208684519367,0
558,1701100,1,4,1750,48.52242320819113,69,200,98,5218,FALSE,-0.006566734236637117,0
559,NA,1,4,750,39.2,8,9,8,15,FALSE,NA,0
567,1701100,1,6,750,32.25,15,23,19,104,FALSE,NA,0
614,1701100,1,6,750,19.003228782287824,88,312,133,7655,FALSE,-0.03502080443828015,0
643,1022200,1,6,750,16.61,56,197,81,3989,FALSE,-0.7998239624453216,0
647,1701100,1,6,800,17.84810344827586,71,233,107,3521,FALSE,0.26717166328816816,1
664,1070000,1,12,100,14.25,23,38,30,245,FALSE,NA,0
678,1701100,1,6,750,30,20,31,23,179,FALSE,NA,0
693,1701100,1,6,750,23.36,33,56,41,535,FALSE,NA,0
699,1011200,1,6,750,33.74,81,248,109,4147,FALSE,-0.5258241758241758,0
725,1701100,1,1,6000,78.75,17,29,23,50,FALSE,NA,0
789,1701100,1,6,750,11.81,55,113,70,937,FALSE,0.22333831217326364,1
890,1701100,1,6,750,30.02,47,105,63,876,FALSE,-0.44560973007574955,0
1016,1701100,1,6,750,35.72480769230769,33,59,42,479,FALSE,NA,0
1025,1701100,1,6,800,33.5775,18,40,26,1124,FALSE,0.1921263202816601,1
1051,1012200,1,6,750,29.97,17,22,19,98,FALSE,NA,0
1160,1701100,1,6,750,52.5,36,71,48,456,FALSE,NA,0
